en,es,vi,de,ar,ja,hi
menopausal hormone therapy,terapia hormonal para la menopausia,liệu pháp hormone mãn kinh,Hormontherapie in den Wechseljahren,العلاج الهرموني لانقطاع الطمث,更年期ホルモン療法,रजोनिवृत्ति हार्मोन थेरेपी
menopause,menopausia,mãn kinh,Menopause,سن اليأس,閉経,रजोनिवृत्ति
menopause - managing symptoms without medication,Menopausia: cómo controlar los síntomas sin medicamentos.,Mãn kinh - kiểm soát các triệu chứng mà không cần dùng thuốc,Wechseljahre – Symptome ohne Medikamente lindern,انقطاع الطمث - إدارة الأعراض بدون أدوية,更年期障害 - 薬を使わずに症状を管理する,रजोनिवृत्ति - बिना दवा के लक्षणों का प्रबंधन
menorrhagia,menorragia,rong kinh,Menorrhagie,غزارة الطمث,月経過多,अत्यार्तव
menstruation,menstruación,kinh nguyệt,Menstruation,الحيض,月経,माहवारी
mental health,salud mental,sức khỏe tâm thần,psychische Gesundheit,الصحة النفسية,メンタルヘルス,मानसिक स्वास्थ्य
mental health - where to get help,Salud mental: dónde obtener ayuda,Sức khỏe tâm thần - tìm kiếm sự trợ giúp ở đâu,Psychische Gesundheit – Wo man Hilfe findet,الصحة النفسية - أين يمكن الحصول على المساعدة,メンタルヘルス - 支援を受ける場所,मानसिक स्वास्थ्य - सहायता कहाँ से प्राप्त करें
mental health and aboriginal and torres strait islander people,salud mental y pueblos aborígenes e isleños del estrecho de Torres,sức khỏe tâm thần và người bản địa và người dân đảo Torres Strait,psychische Gesundheit und die Aborigines und Torres-Strait-Insulaner,الصحة النفسية وسكان أستراليا الأصليين وسكان جزر مضيق توريس,メンタルヘルスとアボリジニおよびトレス海峡諸島の人々,मानसिक स्वास्थ्य और आदिवासी और टोरेस स्ट्रेट द्वीप समूह के लोग
mental health and kids,salud mental y niños,sức khỏe tâm thần và trẻ em,psychische Gesundheit und Kinder,الصحة النفسية والأطفال,メンタルヘルスと子供たち,मानसिक स्वास्थ्य और बच्चे
mental health and menopause,salud mental y menopausia,sức khỏe tâm thần và mãn kinh,psychische Gesundheit und Wechseljahre,الصحة النفسية وانقطاع الطمث,メンタルヘルスと更年期,मानसिक स्वास्थ्य और रजोनिवृत्ति
mental health and older adults,salud mental y adultos mayores,sức khỏe tâm thần và người cao tuổi,psychische Gesundheit und ältere Erwachsene,الصحة النفسية وكبار السن,高齢者のメンタルヘルス,मानसिक स्वास्थ्य और वृद्ध वयस्क
mental health and teenagers,salud mental y adolescentes,sức khỏe tâm thần và thanh thiếu niên,psychische Gesundheit und Teenager,الصحة النفسية والمراهقون,メンタルヘルスと十代の若者,मानसिक स्वास्थ्य और किशोर
mental health and wellbeing,salud mental y bienestar,sức khỏe tâm thần và hạnh phúc,psychische Gesundheit und Wohlbefinden,الصحة النفسية والرفاهية,メンタルヘルスとウェルビーイング,मानसिक स्वास्थ्य और कल्याण
mental health care costs,costos de la atención de salud mental,chi phí chăm sóc sức khỏe tâm thần,Kosten für psychische Gesundheitsversorgung,تكاليف الرعاية الصحية النفسية,精神医療費,मानसिक स्वास्थ्य देखभाल की लागत
mental health conditions,trastornos de salud mental,các bệnh lý sức khỏe tâm thần,psychische Erkrankungen,حالات الصحة العقلية,精神疾患,मानसिक स्वास्थ्य स्थितियाँ
mental health crisis support,apoyo en crisis de salud mental,hỗ trợ khủng hoảng sức khỏe tâm thần,Unterstützung bei psychischen Krisen,دعم الأزمات النفسية,メンタルヘルス危機支援,मानसिक स्वास्थ्य संकट सहायता
mental health first aid,primeros auxilios en salud mental,sơ cứu sức khỏe tâm thần,Erste Hilfe für psychische Gesundheit,الإسعافات الأولية للصحة النفسية,メンタルヘルス応急処置,मानसिक स्वास्थ्य प्राथमिक उपचार
mental health helplines,Líneas de ayuda para la salud mental,đường dây trợ giúp sức khỏe tâm thần,Telefonseelsorge für psychische Gesundheit,خطوط المساعدة للصحة النفسية,メンタルヘルス相談窓口,मानसिक स्वास्थ्य हेल्पलाइन
mental health nurses,enfermeras de salud mental,y tá sức khỏe tâm thần,psychiatrische Krankenpfleger,ممرضات الصحة النفسية,精神科看護師,मानसिक स्वास्थ्य नर्स
mental health professionals,profesionales de la salud mental,các chuyên gia sức khỏe tâm thần,Fachkräfte für psychische Gesundheit,أخصائيو الصحة النفسية,精神保健専門家,मानसिक स्वास्थ्य पेशेवर
mental health recovery,recuperación de la salud mental,phục hồi sức khỏe tâm thần,Genesung von psychischen Erkrankungen,التعافي من الأمراض النفسية,メンタルヘルスの回復,मानसिक स्वास्थ्य पुनर्प्राप्ति
mental health resources,recursos de salud mental,nguồn lực sức khỏe tâm thần,Ressourcen zur psychischen Gesundheit,موارد الصحة النفسية,メンタルヘルス関連情報,मानसिक स्वास्थ्य संसाधन
mental health services,servicios de salud mental,dịch vụ sức khỏe tâm thần,psychiatrische Dienste,خدمات الصحة النفسية,メンタルヘルスサービス,मानसिक स्वास्थ्य सेवाएं
mental health signs of illness,signos de enfermedad mental,các dấu hiệu bệnh lý về sức khỏe tâm thần,Anzeichen einer psychischen Erkrankung,علامات المرض النفسي,精神疾患の兆候,मानसिक स्वास्थ्य संबंधी बीमारी के लक्षण
mental health treatment plan,plan de tratamiento de salud mental,kế hoạch điều trị sức khỏe tâm thần,Behandlungsplan für psychische Gesundheit,خطة علاج الصحة النفسية,精神保健治療計画,मानसिक स्वास्थ्य उपचार योजना
mental illness,enfermedad mental,bệnh tâm thần,Geisteskrankheit,المرض العقلي,精神疾患,मानसिक बिमारी
mental illness signs,signos de enfermedad mental,dấu hiệu bệnh tâm thần,Anzeichen einer psychischen Erkrankung,علامات المرض العقلي,精神疾患の兆候,मानसिक बीमारी के लक्षण
mental illness stigma,estigma de la enfermedad mental,kỳ thị bệnh tâm thần,Stigmatisierung psychischer Erkrankungen,وصمة المرض العقلي,精神疾患に対する偏見,मानसिक बीमारी का कलंक
mers,los meros,mers,mers,mers,マーズ,एमईआरएस
mesenteric adenitis,adenitis mesentérica,viêm hạch mạc treo,Mesenteriale Lymphadenitis,التهاب العقد اللمفاوية المساريقية,腸間膜リンパ節炎,मेसेंटेरिक एडेनाइटिस
mesothelioma,mesotelioma,u trung biểu mô,Mesotheliom,ورم المتوسطة,中皮腫,मेसोथेलियोमा
metabolic diseases,enfermedades metabólicas,bệnh chuyển hóa,Stoffwechselerkrankungen,الأمراض الأيضية,代謝性疾患,चयापचय संबंधी रोग
metabolic syndrome,síndrome metabólico,hội chứng chuyển hóa,Metabolisches Syndrom,متلازمة التمثيل الغذائي,メタボリックシンドローム,चयापचयी लक्षण
metabolism,metabolismo,chuyển hóa,Stoffwechsel,الاسْتِقْلاب,代謝,चयापचय
metastatic breast cancer,cáncer de mama metastásico,ung thư vú di căn,metastasierter Brustkrebs,سرطان الثدي النقيلي,転移性乳がん,मेटास्टेटिक स्तन कैंसर
metformin,metformina,metformin,Metformin,ميتفورمين,メトホルミン,मेटफार्मिन
methadone,metadona,methadone,Methadon,الميثادون,メタドン,मेथाडोन
microbiome; gut microbiome,microbioma; microbioma intestinal,hệ vi sinh vật; hệ vi sinh vật đường ruột,Mikrobiom; Darmmikrobiom,الميكروبيوم؛ ميكروبيوم الأمعاء,マイクロバイオーム；腸内マイクロバイオーム,माइक्रोबायोम; आंत माइक्रोबायोम
microdermabrasion,microdermoabrasión,mài da vi điểm,Mikrodermabrasion,التقشير الدقيق للبشرة,マイクロダーマブレーション,Microdermabrasion
microdochectomy,microdoquectomía,phẫu thuật cắt bỏ một phần ống dẫn tinh,Mikrodockinese,استئصال القناة المنوية الصغيرة,マイクロドケクトミー,माइक्रोडोचेक्टोमी
migraine,migraña,chứng đau nửa đầu,Migräne,صداع نصفي,片頭痛,माइग्रेन
milia,milia,mụn thịt,Milien,الدخينات,ミリア,मिलिया
miliaria,miliaria,miliaria,Miliaria,الدخنية,汗疹,घमौरी
mindfulness,consciencia,chánh niệm,Achtsamkeit,اليقظة الذهنية,マインドフルネス,सचेतन
mineral and vitamin deficiency,deficiencia de minerales y vitaminas,thiếu khoáng chất và vitamin,Mineral- und Vitaminmangel,نقص المعادن والفيتامينات,ミネラルとビタミンの欠乏,खनिज और विटामिन की कमी
