en,es,vi,ar,de,hi,ja
meningitis,meningitis,viêm màng não,التهاب السحايا,Meningitis,मस्तिष्कावरण शोथ,髄膜炎
meningococcal disease,enfermedad meningocócica,bệnh não mô cầu,مرض المكورات السحائية,Meningokokkenerkrankung,मेनिंगोकोकल रोग,髄膜炎菌感染症
menopausal hormone therapy,terapia hormonal para la menopausia,liệu pháp hormone mãn kinh,العلاج الهرموني لانقطاع الطمث,Hormontherapie in den Wechseljahren,रजोनिवृत्ति हार्मोन थेरेपी,更年期ホルモン療法
menopause,menopausia,mãn kinh,سن اليأس,Menopause,रजोनिवृत्ति,閉経
menopause - managing symptoms without medication,Menopausia: cómo controlar los síntomas sin medicamentos.,Mãn kinh - kiểm soát các triệu chứng mà không cần dùng thuốc,انقطاع الطمث - إدارة الأعراض بدون أدوية,Wechseljahre – Symptome ohne Medikamente lindern,रजोनिवृत्ति - बिना दवा के लक्षणों का प्रबंधन,更年期障害 - 薬を使わずに症状を管理する
menorrhagia,menorragia,rong kinh,غزارة الطمث,Menorrhagie,अत्यार्तव,月経過多
menstruation,menstruación,kinh nguyệt,الحيض,Menstruation,माहवारी,月経
mental health,salud mental,sức khỏe tâm thần,الصحة النفسية,psychische Gesundheit,मानसिक स्वास्थ्य,メンタルヘルス
mental health - where to get help,Salud mental: dónde obtener ayuda,Sức khỏe tâm thần - tìm kiếm sự trợ giúp ở đâu,الصحة النفسية - أين يمكن الحصول على المساعدة,Psychische Gesundheit – Wo man Hilfe findet,मानसिक स्वास्थ्य - सहायता कहाँ से प्राप्त करें,メンタルヘルス - 支援を受ける場所
mental health and aboriginal and torres strait islander people,salud mental y pueblos aborígenes e isleños del estrecho de Torres,sức khỏe tâm thần và người bản địa và người dân đảo Torres Strait,الصحة النفسية وسكان أستراليا الأصليين وسكان جزر مضيق توريس,psychische Gesundheit und die Aborigines und Torres-Strait-Insulaner,मानसिक स्वास्थ्य और आदिवासी और टोरेस स्ट्रेट द्वीप समूह के लोग,メンタルヘルスとアボリジニおよびトレス海峡諸島の人々
mental health and kids,salud mental y niños,sức khỏe tâm thần và trẻ em,الصحة النفسية والأطفال,psychische Gesundheit und Kinder,मानसिक स्वास्थ्य और बच्चे,メンタルヘルスと子供たち
mental health and menopause,salud mental y menopausia,sức khỏe tâm thần và mãn kinh,الصحة النفسية وانقطاع الطمث,psychische Gesundheit und Wechseljahre,मानसिक स्वास्थ्य और रजोनिवृत्ति,メンタルヘルスと更年期
mental health and older adults,salud mental y adultos mayores,sức khỏe tâm thần và người cao tuổi,الصحة النفسية وكبار السن,psychische Gesundheit und ältere Erwachsene,मानसिक स्वास्थ्य और वृद्ध वयस्क,高齢者のメンタルヘルス
mental health and teenagers,salud mental y adolescentes,sức khỏe tâm thần và thanh thiếu niên,الصحة النفسية والمراهقون,psychische Gesundheit und Teenager,मानसिक स्वास्थ्य और किशोर,メンタルヘルスと十代の若者
mental health and wellbeing,salud mental y bienestar,sức khỏe tâm thần và hạnh phúc,الصحة النفسية والرفاهية,psychische Gesundheit und Wohlbefinden,मानसिक स्वास्थ्य और कल्याण,メンタルヘルスとウェルビーイング
mental health care costs,costos de la atención de salud mental,chi phí chăm sóc sức khỏe tâm thần,تكاليف الرعاية الصحية النفسية,Kosten für psychische Gesundheitsversorgung,मानसिक स्वास्थ्य देखभाल की लागत,精神医療費
mental health conditions,trastornos de salud mental,các bệnh lý sức khỏe tâm thần,حالات الصحة العقلية,psychische Erkrankungen,मानसिक स्वास्थ्य स्थितियाँ,精神疾患
mental health crisis support,apoyo en crisis de salud mental,hỗ trợ khủng hoảng sức khỏe tâm thần,دعم الأزمات النفسية,Unterstützung bei psychischen Krisen,मानसिक स्वास्थ्य संकट सहायता,メンタルヘルス危機支援
mental health first aid,primeros auxilios en salud mental,sơ cứu sức khỏe tâm thần,الإسعافات الأولية للصحة النفسية,Erste Hilfe für psychische Gesundheit,मानसिक स्वास्थ्य प्राथमिक उपचार,メンタルヘルス応急処置
mental health helplines,Líneas de ayuda para la salud mental,đường dây trợ giúp sức khỏe tâm thần,خطوط المساعدة للصحة النفسية,Telefonseelsorge für psychische Gesundheit,मानसिक स्वास्थ्य हेल्पलाइन,メンタルヘルス相談窓口
mental health nurses,enfermeras de salud mental,y tá sức khỏe tâm thần,ممرضات الصحة النفسية,psychiatrische Krankenpfleger,मानसिक स्वास्थ्य नर्स,精神科看護師
mental health professionals,profesionales de la salud mental,các chuyên gia sức khỏe tâm thần,أخصائيو الصحة النفسية,Fachkräfte für psychische Gesundheit,मानसिक स्वास्थ्य पेशेवर,精神保健専門家
mental health recovery,recuperación de la salud mental,phục hồi sức khỏe tâm thần,التعافي من الأمراض النفسية,Genesung von psychischen Erkrankungen,मानसिक स्वास्थ्य पुनर्प्राप्ति,メンタルヘルスの回復
mental health resources,recursos de salud mental,nguồn lực sức khỏe tâm thần,موارد الصحة النفسية,Ressourcen zur psychischen Gesundheit,मानसिक स्वास्थ्य संसाधन,メンタルヘルス関連情報
mental health services,servicios de salud mental,dịch vụ sức khỏe tâm thần,خدمات الصحة النفسية,psychiatrische Dienste,मानसिक स्वास्थ्य सेवाएं,メンタルヘルスサービス
mental health signs of illness,signos de enfermedad mental,các dấu hiệu bệnh lý về sức khỏe tâm thần,علامات المرض النفسي,Anzeichen einer psychischen Erkrankung,मानसिक स्वास्थ्य संबंधी बीमारी के लक्षण,精神疾患の兆候
mental health treatment plan,plan de tratamiento de salud mental,kế hoạch điều trị sức khỏe tâm thần,خطة علاج الصحة النفسية,Behandlungsplan für psychische Gesundheit,मानसिक स्वास्थ्य उपचार योजना,精神保健治療計画
mental illness,enfermedad mental,bệnh tâm thần,المرض العقلي,Geisteskrankheit,मानसिक बिमारी,精神疾患
mental illness signs,signos de enfermedad mental,dấu hiệu bệnh tâm thần,علامات المرض العقلي,Anzeichen einer psychischen Erkrankung,मानसिक बीमारी के लक्षण,精神疾患の兆候
mental illness stigma,estigma de la enfermedad mental,kỳ thị bệnh tâm thần,وصمة المرض العقلي,Stigmatisierung psychischer Erkrankungen,मानसिक बीमारी का कलंक,精神疾患に対する偏見
mers,los meros,mers,mers,mers,एमईआरएस,マーズ
mesenteric adenitis,adenitis mesentérica,viêm hạch mạc treo,التهاب العقد اللمفاوية المساريقية,Mesenteriale Lymphadenitis,मेसेंटेरिक एडेनाइटिस,腸間膜リンパ節炎
mesothelioma,mesotelioma,u trung biểu mô,ورم المتوسطة,Mesotheliom,मेसोथेलियोमा,中皮腫
metabolic diseases,enfermedades metabólicas,bệnh chuyển hóa,الأمراض الأيضية,Stoffwechselerkrankungen,चयापचय संबंधी रोग,代謝性疾患
metabolic syndrome,síndrome metabólico,hội chứng chuyển hóa,متلازمة التمثيل الغذائي,Metabolisches Syndrom,चयापचयी लक्षण,メタボリックシンドローム
metabolism,metabolismo,chuyển hóa,الاسْتِقْلاب,Stoffwechsel,चयापचय,代謝
metastatic breast cancer,cáncer de mama metastásico,ung thư vú di căn,سرطان الثدي النقيلي,metastasierter Brustkrebs,मेटास्टेटिक स्तन कैंसर,転移性乳がん
metformin,metformina,metformin,ميتفورمين,Metformin,मेटफार्मिन,メトホルミン
methadone,metadona,methadone,الميثادون,Methadon,मेथाडोन,メタドン
microbiome; gut microbiome,microbioma; microbioma intestinal,hệ vi sinh vật; hệ vi sinh vật đường ruột,الميكروبيوم؛ ميكروبيوم الأمعاء,Mikrobiom; Darmmikrobiom,माइक्रोबायोम; आंत माइक्रोबायोम,マイクロバイオーム；腸内マイクロバイオーム
microdermabrasion,microdermoabrasión,mài da vi điểm,التقشير الدقيق للبشرة,Mikrodermabrasion,Microdermabrasion,マイクロダーマブレーション
microdochectomy,microdoquectomía,phẫu thuật cắt bỏ một phần ống dẫn tinh,استئصال القناة المنوية الصغيرة,Mikrodockinese,माइक्रोडोचेक्टोमी,マイクロドケクトミー
